	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Segata 2012 abundance data																				Dewhirst 35x9 abundance																												Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		Throat		PT		TD		Saliva		SupP		SubP		Stool		BM			KG			HP			TD			PT			Throat			Saliva			SupP			SubP				BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence		mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales			Order			17.923			17.923	1	10.728	7.838	17.923	11.521	7.246	5.033	5.828	8.137	6.981	6.801	8.152	7.35	9.09	7.353	5.69	5.96	4.148	4.89	0.048	0.23																																																	
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales			Order			0.583			0.583	2	0.01	0.03	0.005	0.035	0.132	0.487	0.583	4.75	0.004	0.011	0.001	0.01	0.006	0.017	0.002	0.007	0.005	0.021	0.002	0.019																																																	
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales			Order			0.1			0.1	2	0.011	0.118	0	0.003	0.052	0.497	0.1	0.945	0.002	0.022	0	0.002	0.008	0.063	0	0.003	0.003	0.022	0	0																																																	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1]			Order			3.07			3.07	1	0.137	0.341	0.13	0.553	0.241	0.408	0.524	0.933	0.45	0.785	0.565	0.968	3.07	5.72	0.589	1.153	0.648	1.158	0.008	0.083																																																	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales			Order			2.24			2.24	1	0.099	0.3	0.004	0.013	0.054	0.111	0.207	0.635	0.574	1.423	0.06	0.133	0.358	0.745	0.627	1.489	2.24	4.085	0	0.004																																																	
Bacteria;Synergistetes;Synergistia;Synergistales			Order			0.172			0.172	2	0.003	0.012	0	0	0.001	0.007	0.006	0.035	0.017	0.09	0	0.002	0.01	0.038	0.027	0.085	0.172	0.579	0.002	0.008																																																	
Bacteria;WPS-2;WPS-2 [C-1];WPS-2 [O-1]			Order						0	4																																																																					
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae			Family			0			0	4	0	0	0	0.001	0	0	0	0.005	0	0.001	0	0	0	0.004	0	0	0	0.002	0.001	0.006																																																	
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-1];Absconditabacteria (SR1) [O-1];Absconditabacteria (SR1) [F-1]			Family						0	4																																																																					
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-2];Absconditabacteria (SR1) [O-2];Absconditabacteria (SR1) [F-2]			Family						0	4																																																																					
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-3];Absconditabacteria (SR1) [O-3];Absconditabacteria (SR1) [F-3]			Family						0	4																																																																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae			Family			9.161			9.161	1	2.403	3.375	0.65	1.407	3.988	4.038	5.517	4.927	4.419	4.437	7.814	6.715	2.489	2.42	9.161	8.757	7.897	8.954	0.028	0.351																																																	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Dermacoccaceae			Family			0.001			0.001	4	0	0.002	0	0	0	0.001	0.001	0.007	0	0	0	0	0	0	0	0	0	0	0	0																																																	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Dietziaceae			Family			0			0	4	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0																																																	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae			Family			5.467			5.467	1	2.318	3.893	0.28	0.776	2.254	2.761	1.094	1.504	0.832	1.247	2.271	3.081	1.02	1.631	5.467	6.827	3.688	5.16	0.002	0.012																																																	
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae			Family			0.016			0.016	3	0.004	0.015	0	0.003	0.008	0.028	0.009	0.036	0.016	0.115	0.002	0.01	0.011	0.037	0.002	0.011	0.014	0.078	0.076	0.31																																																	
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae			Family			10.877			10.877	1	0.351	0.708	0.201	1.565	0.378	1.266	0.389	2.409	0.133	0.813	0.102	0.483	0.242	0.365	10.877	6.995	6.984	5.992	0.007	0.052																																																	
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriales [F-1]			Family						0	4																																																																					
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae			Family			0.001			0.001	4	0	0.001	0	0.001	0	0.001	0.001	0.009	0	0.004	0	0	0.001	0.008	0	0.001	0	0	0	0																																																	
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae			Family						0	4																																																																					
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae			Family			0			0	4	0	0.006	0	0	0	0.003	0	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0																																																	
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae			Family			0.001			0.001	4	0	0	0	0	0.001	0.01	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.002																																																	
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae			Family			0.005			0.005	4	0	0.002	0	0.003	0.001	0.008	0.001	0.006	0	0.003	0	0.001	0.005	0.05	0	0.002	0.001	0.009	0	0																																																	
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Sanguibacteraceae			Family						0	4																																																																					
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae			Family			0.727			0.727	2	0.072	0.213	0.024	0.086	0.316	3.176	0.231	1.007	0.029	0.087	0.007	0.034	0.109	0.48	0.713	1.235	0.727	1.049	0.253	2.734																																																	
