Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales	15.514	3.737	3.813	3.868	3.557	2.683	3.987	4.659	3.896	10.964	7.489	10.652	7.895	14.507	8.74	11.247	8.66	7.448	4.662	13.392	9.203	11.271	8.955	15.514	9.452	0.072	0.5
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales	0.002	0	0	0	0	0	0	0	0	0	0.005	0.002	0.021	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales	0	0	0.001	0	0	0	0	0	0.002	0	0.003	0	0.005	0	0	0	0	0	0.006	0	0	0	0	0	0	0.031	0.153
Bacteria;Lentisphaerae;Lentisphaeria;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	0.028	0.003	0.016	0.004	0.024	0.001	0.005	0.005	0.021	0.009	0.051	0.028	0.149	0.001	0.004	0.001	0.011	0.008	0.041	0.002	0.013	0	0.002	0.003	0.025	0.001	0.013
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	0.083	0.007	0.02	0.004	0.014	0.002	0.009	0.013	0.037	0.031	0.23	0.038	0.245	0.003	0.014	0	0.002	0.083	0.661	0.001	0.008	0.001	0.008	0.001	0.007	0.003	0.024
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	0.007	0.005	0.025	0.007	0.039	0.002	0.016	0.004	0.021	0.001	0.009	0.003	0.018	0.001	0.01	0	0.003	0.001	0.006	0.002	0.018	0.001	0.005	0.004	0.031	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	0.001	0	0.001	0	0	0	0	0	0.004	0	0.004	0.001	0.013	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	0.031	0.007	0.03	0.006	0.028	0.003	0.014	0.013	0.048	0.014	0.073	0.022	0.068	0.002	0.009	0	0.003	0.031	0.214	0.002	0.011	0.001	0.004	0.003	0.018	0.004	0.041
Bacteria;Proteobacteria;Alphaproteobacteria;unclassified	0.001	0.001	0.006	0	0.003	0	0.001	0.001	0.013	0.001	0.004	0.001	0.003	0.001	0.004	0	0.002	0.001	0.008	0	0.003	0	0.003	0	0.003	0.313	2.065
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	3.408	0.43	0.854	0.789	1.592	0.106	0.321	0.396	0.65	0.799	2.359	0.649	1.774	0.172	0.348	0.06	0.155	2.313	7.158	3.177	4.505	3.408	4.624	2.946	4.387	2.149	3.528
