Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0.002	0.001	0.005	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified	0	0	0.001	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter	0	0	0	0	0	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;unclassified	0	0	0.001	0	0	0	0	0	0.003	0	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella	0.001	0	0	0	0	0	0	0	0.001	0	0.002	0.001	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Porphyrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;unclassified	0	0	0.001	0	0	0	0	0	0.004	0	0	0	0.002	0	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas	0	0	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	0.002	0	0.002	0	0	0	0.004	0	0.002	0.001	0.005	0.001	0.004	0	0	0	0	0.002	0.017	0	0.001	0	0	0	0.001	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0.007	0.001	0.005	0.001	0.004	0	0.002	0.002	0.008	0.002	0.015	0.007	0.044	0	0.001	0	0.002	0.002	0.013	0.001	0.008	0	0	0.001	0.017	0	0.003
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.027	0.005	0.023	0.004	0.027	0.002	0.01	0.008	0.032	0.01	0.065	0.012	0.039	0.002	0.009	0	0.002	0.027	0.211	0.001	0.006	0.001	0.004	0.002	0.008	0.004	0.041
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis	0.001	0	0.001	0	0	0	0	0	0.002	0	0.002	0	0.002	0	0	0	0	0.001	0.007	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;unclassified	0.001	0	0.001	0	0	0	0.001	0	0.001	0	0.003	0.001	0.007	0	0.002	0	0.001	0	0	0	0.001	0	0.001	0	0.001	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.018
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Derxia	0.002	0	0.003	0.001	0.006	0	0	0	0.003	0	0.003	0	0.001	0	0.003	0	0.001	0.001	0.007	0.002	0.014	0.002	0.011	0.002	0.016	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Parasutterella	0.004	0.002	0.014	0.002	0.013	0.002	0.02	0.002	0.009	0.002	0.013	0.004	0.031	0.001	0.003	0	0.003	0.003	0.013	0.002	0.022	0	0.001	0.004	0.043	1.098	3.098
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella	0.04	0.002	0.014	0.002	0.009	0	0.004	0.005	0.029	0.012	0.158	0.04	0.525	0.005	0.065	0	0	0.003	0.04	0	0.003	0	0.002	0.001	0.005	0.796	1.886
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;unclassified	0.018	0.002	0.008	0.003	0.011	0.001	0.004	0.002	0.008	0.003	0.01	0.002	0.012	0.001	0.005	0	0.001	0.009	0.022	0.017	0.036	0.018	0.035	0.016	0.037	0.006	0.026
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	0.005	0	0.002	0	0.002	0	0	0.001	0.004	0.001	0.017	0.005	0.061	0.001	0.003	0	0	0	0.004	0	0.002	0	0.002	0	0.002	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter	0	0	0	0	0	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	0.198	0.011	0.058	0.014	0.079	0.005	0.02	0.015	0.073	0.063	0.502	0.047	0.196	0.004	0.031	0.002	0.018	0.198	1.763	0.005	0.04	0.001	0.004	0.01	0.076	0.002	0.022
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;unclassified	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0.002	0.001	0.007	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium	0.006	0.004	0.024	0.006	0.044	0.001	0.003	0.006	0.024	0.002	0.011	0.005	0.027	0.001	0.004	0	0.001	0.002	0.011	0	0.002	0	0.001	0	0.002	0	0.001
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Tepidimonas	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0.006	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;unclassified	0	0	0	0	0.001	0	0	0	0.001	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	0.01	0.005	0.028	0.01	0.057	0.002	0.013	0.004	0.014	0.001	0.006	0.002	0.011	0.001	0.009	0	0	0.001	0.004	0	0.003	0	0.002	0	0.003	0	0.001
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Alicycliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Brachymonas	0.004	0.001	0.005	0.002	0.009	0	0.001	0.001	0.005	0	0.001	0	0	0	0.001	0	0.001	0	0.002	0.004	0.021	0.003	0.012	0.004	0.03	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	0.003	0.002	0.014	0.003	0.021	0	0.004	0.002	0.018	0.001	0.008	0.002	0.018	0	0	0	0.001	0.002	0.014	0	0.004	0	0.003	0.001	0.005	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	0.137	0.015	0.144	0.014	0.157	0.001	0.008	0.029	0.266	0.037	0.267	0.137	0.97	0.003	0.031	0	0	0.007	0.068	0.001	0.013	0	0.001	0.003	0.024	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter	0.015	0.008	0.047	0.015	0.097	0.004	0.019	0.004	0.025	0.001	0.005	0.001	0.006	0.001	0.007	0	0	0.001	0.006	0.002	0.015	0.001	0.005	0.004	0.024	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	0.057	0.002	0.009	0.004	0.022	0	0.004	0	0.002	0.002	0.027	0.007	0.095	0	0.002	0	0.003	0.001	0.008	0.043	0.219	0.029	0.134	0.057	0.303	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas	0.49	0.033	0.166	0.037	0.232	0.008	0.035	0.053	0.231	0.158	1.222	0.13	0.573	0.009	0.04	0.002	0.028	0.49	4.245	0.01	0.065	0.004	0.037	0.015	0.092	0.004	0.043
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	0	0	0.001	0	0	0	0.002	0	0.001	0	0.001	0	0.001	0	0	0	0	0	0.003	0	0.001	0	0.002	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Roseateles	0.05	0.001	0.006	0	0.001	0.001	0.004	0.002	0.011	0.014	0.154	0.004	0.037	0	0.003	0	0.002	0.05	0.576	0	0.002	0	0.003	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.005	0.002	0.021	0.005	0.063	0	0	0	0.001	0	0.001	0	0.001	0	0	0	0	0	0.004	0.001	0.007	0.002	0.009	0.001	0.004	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.001	0	0.002	0	0	0	0	0.001	0.005	0	0.001	0	0.003	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;unclassified	0.47	0.032	0.083	0.066	0.173	0.008	0.024	0.023	0.052	0.043	0.183	0.033	0.106	0.008	0.02	0.004	0.019	0.128	0.588	0.451	1.308	0.432	1.055	0.47	1.56	0	0.001
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0.007	0	0.006	0	0.001	0	0	0	0.002	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum	0.009	0.001	0.009	0.001	0.009	0	0.001	0.001	0.017	0.002	0.018	0.009	0.071	0	0.001	0	0.002	0	0	0	0.001	0	0.001	0	0.001	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas	0	0	0.001	0	0.003	0	0	0	0.001	0	0.001	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium	0.004	0.001	0.004	0	0.003	0	0.003	0.001	0.008	0.002	0.015	0.002	0.019	0	0.003	0	0	0.004	0.036	0	0.003	0	0.002	0	0.003	0.001	0.014
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.007	0	0	0	0	0	0	0	0	0.004	0.041	0.007	0.078	0	0.001	0	0	0.007	0.087	0	0.003	0	0	0	0.005	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.019
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unclassified	0.001	0	0.002	0	0	0	0.003	0	0.003	0.001	0.005	0.001	0.007	0	0.005	0	0.002	0.001	0.007	0.001	0.005	0.001	0.004	0.001	0.005	0.003	0.013
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus	0	0	0	0	0.001	0	0	0	0	0	0.002	0	0.003	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Petrobacter	0	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Tepidiphilus	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus	0	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Alysiella	0	0	0.002	0	0	0	0.004	0	0.002	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0	0.001	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Bergeriella	0.001	0	0.001	0	0.003	0	0	0	0.001	0	0.002	0	0	0	0	0.001	0.006	0	0	0.001	0.005	0.001	0.006	0.001	0.004	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Conchiformibius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	1.625	0.146	0.393	0.249	0.649	0.103	0.353	0.087	0.179	0.099	0.367	0.068	0.173	0.147	1.005	0.02	0.035	0.159	0.254	1.453	1.786	1.625	1.874	1.281	1.698	0.003	0.031
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	9.992	3.488	4.449	3.31	3.941	2.189	4.493	4.965	4.913	6.607	7.648	5.541	7.471	5.27	6.931	9.992	10.561	5.624	5.628	5.483	6.033	6.464	6.616	4.501	5.451	0.004	0.024
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	0.882	0.329	1.52	0.002	0.012	0.103	0.979	0.882	3.569	0.007	0.054	0.017	0.152	0.005	0.026	0.002	0.007	0.007	0.033	0	0.003	0	0.003	0	0.004	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;unclassified	1.002	0.327	1.001	0.172	0.365	0.225	0.655	0.584	1.983	0.121	0.201	0.088	0.162	0.082	0.124	0.095	0.167	0.217	0.35	0.872	0.844	1.002	0.89	0.742	0.798	0.001	0.011
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azonexus	0.001	0	0.004	0.001	0.007	0	0.002	0	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas	0.003	0.001	0.012	0.003	0.029	0.001	0.006	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0.003	0	0.003	0	0.002	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Methyloversatilis	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.001	0.008	0	0	0	0	0	0.001	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio	0.016	0	0.003	0	0.005	0	0	0	0.003	0	0.002	0	0.001	0	0.003	0	0	0.001	0.005	0.016	0.057	0.016	0.058	0.016	0.056	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Shinella	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Thauera	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.003	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Uliginosibacterium	0.001	0	0.003	0.001	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Zoogloea	0.001	0	0.003	0	0.001	0	0	0.001	0.008	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;unclassified	0.002	0.001	0.009	0.002	0.021	0	0.004	0	0.002	0	0.001	0	0.004	0	0.001	0	0	0	0	0.001	0.003	0	0.002	0.001	0.003	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.011	0	0.002	0.003	0.019	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0	0	0	0	0.001	0.005	0.023
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Lawsonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0.002	0.01	0.029
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter	0.005	0.001	0.019	0	0.001	0	0	0.004	0.057	0.001	0.013	0.005	0.051	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;unclassified	0.001	0	0.003	0	0.003	0	0	0.001	0.005	0	0.006	0.001	0.01	0	0.001	0	0	0.001	0.011	0	0.001	0	0	0	0.001	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter	0.001	0	0.004	0.001	0.011	0	0.002	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0.003	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	2.943	0.591	1.12	0.264	0.376	0.977	2.386	0.533	0.599	1.804	2.076	1.43	1.639	1.496	1.87	1.345	1.679	2.943	3.114	1.099	1.2	1.005	1.297	1.192	1.104	0.004	0.029
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	0.004	0.001	0.011	0.001	0.013	0	0.003	0.002	0.017	0.001	0.015	0.004	0.049	0	0.005	0	0	0.001	0.006	0.001	0.009	0.001	0.008	0.001	0.009	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Wolinella	0.001	0	0.001	0	0.002	0	0	0	0	0	0.003	0	0	0	0.001	0	0	0.001	0.01	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;unclassified	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0	0	0.004	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.081
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	0	0.001	0	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	0.249	0.009	0.032	0.015	0.037	0.005	0.042	0.006	0.018	0.006	0.022	0.007	0.028	0.004	0.029	0.001	0.005	0.01	0.027	0.233	0.394	0.249	0.363	0.217	0.425	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.015
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter	0.006	0.002	0.016	0.001	0.004	0.001	0.006	0.006	0.038	0.002	0.011	0.004	0.029	0.001	0.008	0	0.001	0.001	0.007	0.001	0.011	0	0.002	0.002	0.02	0	0.006
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cronobacter	0	0	0.002	0	0.002	0	0	0	0.003	0	0.001	0	0.003	0	0.001	0	0	0	0.001	0	0	0	0	0	0.001	0.013	0.097
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter	0.006	0.003	0.023	0.004	0.028	0.001	0.005	0.006	0.038	0.002	0.009	0.003	0.02	0.001	0.004	0	0.001	0.002	0.012	0	0.002	0	0.001	0	0.003	0.002	0.013
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella	0.016	0.004	0.018	0.005	0.022	0.001	0.007	0.007	0.025	0.006	0.047	0.007	0.022	0.001	0.007	0	0	0.016	0.158	0.002	0.02	0	0.002	0.004	0.038	0.1	0.665
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella	0.009	0.003	0.035	0	0.002	0	0.001	0.009	0.103	0.002	0.021	0.001	0.003	0	0	0	0	0.006	0.08	0	0.004	0.001	0.009	0	0	0.005	0.024
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Kluyvera	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Obesumbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea	0.006	0	0.001	0	0	0	0.001	0	0.002	0.002	0.02	0.006	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.001	0.01	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia	0.011	0.001	0.006	0.001	0.005	0.001	0.004	0.002	0.01	0.006	0.04	0.011	0.079	0.002	0.016	0	0.001	0.009	0.064	0.001	0.006	0	0.002	0.001	0.01	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia	0.001	0	0.001	0	0	0	0	0	0.002	0.001	0.004	0.001	0.008	0	0.002	0	0	0.001	0.009	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia	0.001	0	0.001	0	0	0	0	0	0.002	0	0.002	0.001	0.004	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified	0.041	0.01	0.048	0.006	0.031	0.004	0.037	0.021	0.077	0.014	0.087	0.041	0.279	0.005	0.03	0.001	0.004	0.009	0.033	0.005	0.051	0.001	0.014	0.008	0.087	0.038	0.209
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.008
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus	1.854	1.108	2.09	0.833	1.169	1.854	3.942	0.637	1.16	0.514	0.847	0.461	1.008	0.673	1.24	0.278	0.361	0.644	0.781	0.312	0.54	0.352	0.597	0.272	0.482	0.001	0.009
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	0.418	0.046	0.127	0.087	0.255	0.013	0.043	0.037	0.083	0.093	0.372	0.079	0.604	0.103	0.577	0.011	0.028	0.177	0.277	0.414	0.735	0.418	0.802	0.411	0.668	0	0.001
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	6.585	4.108	3.993	3.506	4.104	6.585	5.831	2.234	2.043	2.245	3.791	2.325	7.193	1.917	2.266	2.425	2.915	2.313	2.792	0.716	1.151	0.852	1.409	0.581	0.893	0.008	0.031
