	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;aurantiaca		943	Species				0.073	0.11	0.110173373	2	0.01	7.792	0.001	2.597	0.063	15.584	0.11	14.286	0.022	11.688	0.051	11.688	0.074	10.39	0	0	0	1.299	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola		291	Species				0.992	0.242	0.992464745	2	0.016	24.675	0	2.597	0.018	16.883	0.004	6.494	0.242	28.571	0.069	18.182	0.037	27.273	0.055	14.286	0.198	42.857	0	1.299	includes P. denticola and P. multiformis
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;enoeca		600	Species				0.023		0.022563846	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca		782	Species					0.033	0.033408611	3	0.001	3.896	0	1.299	0.002	3.896	0.001	1.299	0.033	6.494	0.015	6.494	0.025	6.494	0.026	1.299	0.033	2.597	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola		298	Species				2.72	2.659	2.720431	1	0.452	70.13	0.054	33.766	1.29	85.714	1.943	83.117	2.173	92.208	2.659	93.506	1.683	81.818	0.135	33.766	0.111	45.455	0.001	3.896	includes P. histicola, P. veroralis, P. sp. HMT 313
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia		643	Species				1.057	0.203	1.057077662	1	0.008	6.494	0.002	2.597	0.001	2.597	0	2.597	0.203	14.286	0.037	10.39	0.021	14.286	0.01	5.195	0.193	11.688	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;loescheii		658	Species				0.138		0.137674833	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;maculosa		289	Species				0.204	0.17	0.20387752	2	0.001	3.896	0	0	0.004	7.792	0.002	5.195	0.109	7.792	0.057	5.195	0.027	14.286	0.016	10.39	0.17	14.286	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;marshii		665	Species				0.007		0.007453676	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica		469	Species				8.644	4.37	8.644295308	1	0.526	93.506	0.137	53.247	2.999	100	4.37	100	2.504	98.701	3.122	98.701	3.515	98.701	0.081	53.247	0.348	61.039	0.002	6.494	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;micans		378	Species				0.05		0.049981345	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;multiformis		685	Species				0.109	0.242	0.241943991	2	0.016	24.675	0	2.597	0.018	16.883	0.004	6.494	0.242	28.571	0.069	18.182	0.037	27.273	0.055	14.286	0.198	42.857	0	1.299	includes P. denticola and P. multiformis
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;multisaccharivorax		794	Species						0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nanceiensis		299	Species				0.946	0.989	0.988967764	2	0.192	80.519	0.419	48.052	0.494	88.312	0.756	89.61	0.42	87.013	0.384	83.117	0.989	88.312	0.013	25.974	0.012	31.169	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens		693	Species				0.027	1.046	1.045631823	1	0.047	45.455	0.017	14.286	0.035	48.052	0.015	22.078	1.046	57.143	0.264	36.364	0.198	59.74	0.304	44.156	0.882	59.74	0.001	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oralis		705	Species				0.013		0.013076954	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oris		311	Species				2.626	0.966	2.626174931	1	0.094	50.649	0.002	9.091	0.033	35.065	0.011	19.481	0.416	64.935	0.153	42.857	0.292	79.221	0.192	57.143	0.966	74.026	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oulorum		288	Species				0.183	0.041	0.18269547	2	0.009	10.39	0	0	0.002	3.896	0.003	5.195	0.031	15.584	0.011	9.091	0.027	27.273	0.041	16.883	0.028	18.182	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens		714	Species				1.492	1.354	1.491593264	1	0.169	58.442	0.02	24.675	0.936	85.714	0.833	88.312	0.892	87.013	1.354	88.312	1.228	85.714	0.011	6.494	0.011	19.481	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pleuritidis		303	Species				0.185	0.396	0.396010411	2	0.014	14.286	0.001	3.896	0.006	11.688	0.002	5.195	0.135	25.974	0.046	12.987	0.074	29.87	0.032	11.688	0.396	23.377	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;saccharolytica		781	Species				0.135	0.103	0.135399607	2	0.003	9.091	0.002	2.597	0.001	5.195	0.001	2.597	0.018	7.792	0.005	11.688	0.019	28.571	0.074	37.662	0.103	55.844	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;salivae		307	Species				1.543	1.235	1.542910156	1	0.099	55.844	0.022	27.273	0.325	87.013	0.598	85.714	0.745	84.416	0.943	89.61	1.235	90.909	0.007	9.091	0.03	16.883	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;scopos		885	Species				0.034		0.033636496	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;shahii		795	Species				0.224	0.211	0.223563398	2	0.02	23.377	0.004	10.39	0.075	38.961	0.153	35.065	0.17	44.156	0.211	40.26	0.102	40.26	0.034	15.584	0.039	16.883	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 306		306	Species				1.395	0.389	1.39485845	1	0.031	25.974	0.001	6.494	0.169	62.338	0.166	70.13	0.364	59.74	0.389	68.831	0.175	61.039	0.001	2.597	0.004	11.688	0	1.299	includes P. sp. HMT 306 and P. sp. HMT 314
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 309		309	Species				0.139	0.241	0.241342137	2	0.009	15.584	0	1.299	0.04	24.675	0.062	35.065	0.115	40.26	0.176	37.662	0.241	36.364	0	1.299	0.001	3.896	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 313		313	Species				2.562	2.659	2.658731855	1	0.452	70.13	0.054	33.766	1.29	85.714	1.943	83.117	2.173	92.208	2.659	93.506	1.683	81.818	0.135	33.766	0.111	45.455	0.001	3.896	includes P. histicola, P. veroralis, P. sp. HMT 313
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 314		314	Species				0.805	0.389	0.805147315	2	0.031	25.974	0.001	6.494	0.169	62.338	0.166	70.13	0.364	59.74	0.389	68.831	0.175	61.039	0.001	2.597	0.004	11.688	0	1.299	includes P. sp. HMT 306 and P. sp. HMT 314
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 315		315	Species				0.01		0.009503847	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 317		317	Species				0.331	0.328	0.331415978	2	0.021	28.571	0.008	12.987	0.006	15.584	0.001	5.195	0.035	16.883	0.024	18.182	0.033	36.364	0.328	49.351	0.31	63.636	0	0	includes P. sp. HMT 317 and P. sp. HMT 472
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 376		376	Species				0.005		0.005340882	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 396		396	Species				0.089		0.088656851	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 443		443	Species				0.012		0.011691446	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 472		472	Species				0.318	0.328	0.327777757	2	0.021	28.571	0.008	12.987	0.006	15.584	0.001	5.195	0.035	16.883	0.024	18.182	0.033	36.364	0.328	49.351	0.31	63.636	0	0	includes P. sp. HMT 317 and P. sp. HMT 472
