HMT	Domain	Phylum	Class	Order	Family	Genus	Species
954	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-7]	bacterium_HMT_954
955	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-8]	bacterium_HMT_955
956	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	cinerea
957	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-1]	bacterium_HMT_957
982	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	album
983	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	roseus
984	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	limicola
986	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-7]	bacterium_HMT_986
987	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-7]	bacterium_HMT_987
988	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Candidatus_Saccharimonas	aalborgensis
989	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-7]	bacterium_HMT_989
990	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]	Absconditabacteria_(SR1)_[G-1]	bacterium_HMT_990
991	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]	Absconditabacteria_(SR1)_[G-1]	bacterium_HMT_991
994	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	aerophila
995	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	thermophila
996	Bacteria	Gracilibacteria_(GN02)	Gracilibacteria_(GN02)_[C-1]	Gracilibacteria_(GN02)_[O-1]	Gracilibacteria_(GN02)_[F-1]	Gracilibacteria_(GN02)_[G-3]	bacterium_HMT_996
997	Bacteria	Gracilibacteria_(GN02)	Gracilibacteria_(GN02)_[C-1]	Gracilibacteria_(GN02)_[O-1]	Gracilibacteria_(GN02)_[F-1]	Gracilibacteria_(GN02)_[G-4]	bacterium_HMT_997
999	Bacteria	WPS-2	WPS-2_[C-1]	WPS-2_[O-1]	WPS-2_[F-1]	WPS-2_[G-1]	bacterium_HMT_999
