D101	domain		Bacteria
S489	species	HMT-841	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp._HMT_841
F490	family		Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae
G490	genus		Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;Melioribacter
S490	species	HMT-983	Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;Melioribacter;roseus
G491	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
S491	species	HMT-659	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;japonicum
P492	phylum		Bacteria;Mycoplasmatota
C492	klass		Bacteria;Mycoplasmatota;Mollicutes
O492	order		Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales
F492	family		Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae
G492	genus		Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma
S492	species	HMT-561	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;buccale
S493	species	HMT-606	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;faucium
S494	species	HMT-632	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;hominis
S495	species	HMT-704	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;orale
S496	species	HMT-754	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;salivarium
D497	domain		Archaea
P497	phylum		Archaea;Euryarchaeota
C497	klass		Archaea;Euryarchaeota;Methanobacteria
O497	order		Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales
F497	family		Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae
G497	genus		Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter
S497	species	HMT-815	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;oralis
G498	genus		Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Micavibrio
S498	species	HMT-330	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Micavibrio;aeruginosavorus
F499	family		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae
G499	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
S499	species	HMT-185	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium;ginsengisoli
S500	species	HMT-186	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium;flavescens
G501	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus
S501	species	HMT-087	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;luteus
G502	genus		Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella
S502	species	HMT-131	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;sp._HMT_131
S503	species	HMT-521	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;sp._HMT_521
S504	species	HMT-684	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;multacida
G505	genus		Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus
S505	species	HMT-830	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus;mulieris
G506	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium
S506	species	HMT-008	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium;vescum
S507	species	HMT-042	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium;timidum
S508	species	HMT-593	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium;diversum
S509	species	HMT-691	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium;neglectum
S510	species	HMT-742	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium;pumilum
O511	order		Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-1]
F511	family		Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-1];Mollicutes_[F-1]
G511	genus		Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-1];Mollicutes_[F-1];Mollicutes_[G-1]
S511	species	HMT-504	Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-1];Mollicutes_[F-1];Mollicutes_[G-1];bacterium_HMT_504
O512	order		Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-2]
F512	family		Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-2];Mollicutes_[F-2]
G512	genus		Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-2];Mollicutes_[F-2];Mollicutes_[G-2]
S512	species	HMT-906	Bacteria;Mycoplasmatota;Mollicutes;Mollicutes_[O-2];Mollicutes_[F-2];Mollicutes_[G-2];bacterium_HMT_906
G513	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella
S513	species	HMT-098	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;nonliquefaciens
S514	species	HMT-154	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;lincolnii
S515	species	HMT-276	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;sp._HMT_276
S516	species	HMT-711	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;osloensis
S517	species	HMT-833	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;catarrhalis
F518	family		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae
G518	genus		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
S518	species	HMT-822	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;tuberculosis
S519	species	HMT-823	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;leprae
G520	genus		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
S520	species	HMT-692	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;neoaurum
G521	genus		Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Mycoplasmoides
S521	species	HMT-616	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Mycoplasmoides;genitalium
S522	species	HMT-732	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Mycoplasmoides;pneumoniae
O523	order		Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmatales
F523	family		Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae
G523	genus		Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis
S523	species	HMT-607	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis;fermentans
S524	species	HMT-656	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis;lipophila
G525	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria
S525	species	HMT-013	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;bacilliformis
S526	species	HMT-014	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis
S527	species	HMT-018	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp._HMT_018
S528	species	HMT-020	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp._HMT_020
S529	species	HMT-092	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;weaveri
S530	species	HMT-099	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;macacae
S531	species	HMT-101	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;perflava
S532	species	HMT-476	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava
S533	species	HMT-499	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp._HMT_499
S534	species	HMT-523	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp._HMT_523
S535	species	HMT-598	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;elongata
S536	species	HMT-609	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flava
S537	species	HMT-610	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens
S538	species	HMT-621	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;gonorrhoeae
S539	species	HMT-649	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;lactamica
S540	species	HMT-669	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;meningitidis
S541	species	HMT-682	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa
S542	species	HMT-737	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;polysaccharea
S543	species	HMT-764	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sicca
S544	species	HMT-956	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea
G545	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae_[G-1]
S545	species	HMT-174	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae_[G-1];bacterium_HMT_174
S546	species	HMT-327	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae_[G-1];bacterium_HMT_327
F547	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
G547	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
S547	species	HMT-006	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;humi
S548	species	HMT-342	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;panipatense
F549	family		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae
G549	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter
S549	species	HMT-516	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;bacterium_HMT_516
G550	genus		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella
S550	species	HMT-810	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella;massiliensis
G551	genus		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella
S551	species	HMT-038	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;uli
S552	species	HMT-806	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;profusa
S553	species	HMT-807	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp._HMT_807
S554	species	HMT-809	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp._HMT_809
S555	species	HMT-939	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp._HMT_939
G556	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium
S556	species	HMT-078	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sp._HMT_078
S557	species	HMT-102	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sp._HMT_102
S558	species	HMT-108	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum
S559	species	HMT-457	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sinus
S560	species	HMT-934	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;parvum
O561	order		Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales
F561	family		Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
G561	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Oryzomicrobium
S561	species	HMT-028	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Oryzomicrobium;terrae
G562	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_[G-1]
S562	species	HMT-075	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_[G-1];bacterium_HMT_075
G563	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_[G-2]
S563	species	HMT-085	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_[G-2];bacterium_HMT_085
G564	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_[G-3]
S564	species	HMT-366	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_[G-3];bacterium_HMT_366
S565	species	HMT-381	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_[G-3];bacterium_HMT_381
G566	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia
S566	species	HMT-894	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;sp._HMT_894
F567	family		Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae
G567	genus		Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
S567	species	HMT-048	Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;typhae
S568	species	HMT-786	Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;phoenicis
S569	species	HMT-921	Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;glucanolyticus
G570	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
S570	species	HMT-104	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;yeei
G571	genus		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Parascardovia
S571	species	HMT-586	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Parascardovia;denticolens
G572	genus		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas
S572	species	HMT-110	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;sp._HMT_110
S573	species	HMT-111	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;micra
S574	species	HMT-393	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;sp._HMT_393
C575	klass		Bacteria;Bacteroidota;Sphingobacteriia
O575	order		Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales
F575	family		Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
G575	genus		Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
S575	species	HMT-318	Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp._HMT_318
S576	species	HMT-321	Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp._HMT_321
S577	species	HMT-933	Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp._HMT_933
G578	genus		Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga
S578	species	HMT-183	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;sp._HMT_183
S579	species	HMT-848	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;gingivicola
F580	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae
G580	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus
S580	species	HMT-167	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp._HMT_167
S581	species	HMT-168	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp._HMT_168
G582	genus		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilaceae_[G-1]
S582	species	HMT-113	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilaceae_[G-1];bacterium_HMT_113
G583	genus		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilaceae_[G-2]
S583	species	HMT-790	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilaceae_[G-2];bacterium_HMT_790
G584	genus		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilaceae_[G-3]
S584	species	HMT-929	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilaceae_[G-3];bacterium_HMT_929
G585	genus		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus
S585	species	HMT-109	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;harei
S586	species	HMT-187	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;sp._HMT_187
S587	species	HMT-375	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;sp._HMT_375
S588	species	HMT-386	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;sp._HMT_386
S589	species	HMT-548	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;asaccharolyticus
S590	species	HMT-836	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;lacrimalis
S591	species	HMT-840	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;indolicus
G592	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-1]
S592	species	HMT-105	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-1];[Eubacterium]_infirmum
S593	species	HMT-383	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-1];bacterium_HMT_383
S594	species	HMT-467	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-1];[Eubacterium]_sulci
G595	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-2]
S595	species	HMT-091	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-2];bacterium_HMT_091
G596	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-3]
S596	species	HMT-495	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-3];bacterium_HMT_495
S597	species	HMT-950	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-3];bacterium_HMT_950
G598	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-4]
S598	species	HMT-103	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-4];bacterium_HMT_103
S599	species	HMT-369	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-4];bacterium_HMT_369
G600	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-5]
S600	species	HMT-493	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-5];bacterium_HMT_493
S601	species	HMT-759	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-5];[Eubacterium]_saphenum
G602	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-6]
S602	species	HMT-673	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-6];[Eubacterium]_minutum
S603	species	HMT-694	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-6];[Eubacterium]_nodatum
G604	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-7]
S604	species	HMT-081	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-7];bacterium_HMT_081
S605	species		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-7];[Eubacterium]_yurii
SSP605	subspecies	HMT-106	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-7];[Eubacterium]_yurii;subsp._schtitka
SSP606	subspecies	HMT-377	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-7];[Eubacterium]_yurii;subsps._yurii_&_margaretiae
S607	species	HMT-922	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-7];bacterium_HMT_922
G608	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-8]
S608	species	HMT-382	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-8];bacterium_HMT_382
G609	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-9]
S609	species	HMT-557	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-9];[Eubacterium]_brachy
G610	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus
S610	species	HMT-112	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;stomatis
S611	species	HMT-542	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;anaerobius
G612	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola
S612	species	HMT-272	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;abscessus
F613	family		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae
G613	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
S613	species	HMT-273	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis
S614	species	HMT-275	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp._HMT_275
S615	species	HMT-277	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp._HMT_277
S616	species	HMT-278	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp._HMT_278
S617	species	HMT-279	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri
S618	species	HMT-283	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae
S619	species	HMT-284	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp._HMT_284
S620	species	HMT-285	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp._HMT_285
S621	species	HMT-547	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;asaccharolytica
S622	species	HMT-619	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;gingivalis
S623	species	HMT-785	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uenonis
S624	species	HMT-930	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp._HMT_930
G625	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
S625	species	HMT-291	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola
S626	species	HMT-298	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola
S627	species	HMT-304	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_304
S628	species	HMT-306	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_306
S629	species	HMT-313	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni
S630	species	HMT-314	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_314
S631	species	HMT-378	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;micans
